molecule_chembl_id,class_label,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL2402691,active,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2c([N+](=O)[O-])cccc2c1=O)[C@H](C)OCc1ccccc1)C(C)C,822.9170000000001,1.3020000000000063,5.0,12.0,6.221848749616356
CHEMBL406516,inactive,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F,634.6960000000004,3.8319000000000036,4.0,6.0,5.0
CHEMBL2442053,inactive,COc1ncc(-c2ccc(N(Cc3ccsc3)C(=O)Cn3nnc4ccccc43)cc2)cn1,456.5310000000001,4.191800000000003,0.0,8.0,4.903089986991944
CHEMBL2442055,active,COc1ncccc1-c1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,455.5430000000002,4.796800000000004,0.0,7.0,6.154901959985743
CHEMBL2442056,active,O=C(Cn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(-c2cccnc2)cc1,425.5170000000001,4.788200000000004,0.0,6.0,6.013228265733755
CHEMBL2442057,active,O=C(Cn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(-c2ccccc2)cc1,424.5290000000001,5.393200000000005,0.0,5.0,7.292429823902063
CHEMBL2442061,inactive,CC(C)COC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,463.56300000000016,4.930700000000004,1.0,7.0,4.987162775294828
CHEMBL2442062,inactive,O=C(Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1)C1CCCCC1,473.6020000000003,5.2450000000000045,1.0,6.0,4.655607726314889
CHEMBL2442065,inactive,CC(C)(C)C(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,447.5640000000002,4.710800000000003,1.0,6.0,4.876148359032914
CHEMBL2442069,inactive,CC(C)(C)NC(=O)C(c1ccsc1)N(C(=O)Cn1nnc2ccccc21)c1ccc(NC(=O)c2ccno2)cc1,557.6360000000002,4.4223000000000035,2.0,9.0,4.585026652029182
CHEMBL2442075,inactive,CC(C)(C)NC(=O)C(c1ccsc1)N(C(=O)Cn1nnc2ccccc21)c1ccc(NC(=O)C(C)(C)C)cc1,546.6970000000002,5.166600000000005,2.0,7.0,4.647817481888637
CHEMBL2442078,inactive,CC(C)(C)NC(=O)C(c1ccsc1)N(C(=O)Cn1nnc2ccccc21)c1ccc(NS(C)(=O)=O)cc1,540.6710000000002,3.5535000000000023,2.0,8.0,4.5968794788241825
CHEMBL2440138,inactive,CC(C)(C)NC(=O)C(c1ccsc1)N(C(=O)Cn1nnc2ccccc21)c1ccc(N)cc1,462.5790000000002,3.7642000000000024,2.0,7.0,4.698970004336019
CHEMBL2442080,inactive,CC(=O)Nc1ccc(N(C(=O)Cn2cc(-c3ccccc3)nn2)C(C(=O)NC(C)(C)C)c2ccsc2)cc1,530.6540000000002,4.654200000000004,2.0,7.0,4.958607314841775
CHEMBL4465864,inactive,CC(=O)N[C@H](C(=O)NCC(=O)NC1[C@H]2CCCC[C@@H]2CN(C(=O)c2ccc(Br)cc2)[C@@H]1CN[C@H](C=O)Cc1c[nH]cn1)[C@@H](C)O,688.624,0.6893000000000034,6.0,8.0,4.585026652029182
CHEMBL4532437,inactive,CCSC(SCC)[C@H](Cc1c[nH]cn1)NC[C@@H]1C(NC(=O)CNC(=O)[C@@H](NC(C)=O)[C@@H](C)O)[C@H]2CCCC[C@@H]2CN1C(=O)c1ccc(Br)cc1,794.8829999999999,3.3227000000000064,6.0,9.0,3.7569619513137056
CHEMBL4437284,inactive,CON(C)C(=O)[C@H](Cc1c[nH]cn1)NC[C@@H]1C(NC(=O)CNC(=O)[C@@H](NC(C)=O)[C@@H](C)O)[C@H]2CCCC[C@@H]2CN1C(=O)c1ccc(Br)cc1,747.6920000000001,0.5102000000000062,6.0,9.0,3.0
CHEMBL4459894,inactive,CCOC(=O)/C=C/[C@H](Cc1c[nH]cn1)NC[C@@H]1C(NC(=O)CNC(=O)[C@@H](NC(C)=O)[C@@H](C)O)[C@H]2CCCC[C@@H]2CN1C(=O)c1ccc(Br)cc1,758.715,1.6097000000000052,6.0,9.0,2.6989700043360187
CHEMBL4590273,active,Cc1cccc2nc(CSC(=S)NCc3cccnc3)cn12,328.466,3.345620000000001,1.0,5.0,6.416801226031377
CHEMBL5436771,active,S=C([S-])NCc1cccnc1,183.28100000000003,1.003,1.0,3.0,6.782516055786093
CHEMBL2365410,active,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)O,485.5590000000002,0.544700000000002,5.0,7.0,6.79317412396815
